scenario_id,test_temperature_c,test_duration_h,biofuel_mass_fraction_pct,catalyst_dosage_category,target_delta_kinematic_viscosity_pct,target_oxidation_eot_a_per_cm
train_1,160,168,0,1,25.4,98.04
train_10,160,168,0,1,-23.78,85.04
train_100,150,168,7,1,157.99,105.26
train_101,150,216,7,1,241.52,126.73
train_102,150,168,7,1,552.67,86.92
train_103,160,168,7,1,10.67,10.6
train_104,160,168,7,1,11.36,11.48
train_105,160,168,7,1,11.08,10.1
train_106,150,168,7,1,861.54,84.25
train_107,150,216,7,1,1763.34,95.47
train_108,160,168,7,1,11.68,11.28
train_109,150,168,7,1,178.68,92.78
train_11,160,168,0,1,-15.32,6.53
train_110,150,216,7,1,775.51,107.79
train_111,160,168,7,1,12.98,8.58
train_112,150,168,7,1,65.88,88.46
train_113,150,216,7,1,176.84,103.13
train_114,150,168,7,1,63.8,45.59
train_115,150,216,7,1,177.56,53.59
train_116,160,168,7,1,12.8,15.78
train_117,150,168,7,1,482.89,91.23
train_118,150,216,7,1,754.93,103.98
train_119,160,168,7,1,11.5,12.88
train_12,160,168,0,1,-31.67,83.37
train_120,160,168,5,1,78.94,25.27
train_121,160,168,5,1,47.13,28.09
train_122,160,168,5,1,12.58,69.1
train_123,160,168,5,1,5.77,65.59
train_124,160,168,5,1,9.99,79.18
train_125,154,216,7,1,64.3,148.95
train_126,160,168,5,1,37.1,85.72
train_127,160,168,0,1,30.3,24.4
train_128,160,168,0,1,-23.02,15.94
train_129,160,168,0,1,-23.13,15.81
train_13,160,168,0,1,-31.73,8.14
train_130,150,216,0,1,15.22,43.24
train_131,160,168,0,1,0.2,41.28
train_132,160,168,0,1,14.15,17.37
train_133,160,168,0,1,16.5,20.31
train_134,160,168,0,1,-18.6,16.57
train_135,160,168,0,1,16.21,17.9
train_136,160,168,0,1,15.76,16.22
train_137,160,168,0,1,-27.13,5.61
train_138,160,168,0,1,-26.8,16.45
train_139,160,168,5,2,2.68,134.0
train_14,160,168,0,1,-30.7,76.38
train_140,160,168,5,2,20.06,122.71
train_141,160,168,5,2,2.72,134.08
train_142,160,168,0,1,48.9,93.48
train_143,160,168,0,1,7.1,14.85
train_144,160,168,0,1,4.7,17.01
train_145,160,168,0,1,3.74,112.26
train_146,160,168,0,1,13.93,65.64
train_147,160,168,0,1,10.1,16.13
train_148,160,168,0,1,11.04,22.21
train_149,160,168,0,1,12.45,17.35
train_15,160,168,0,1,-29.38,60.24
train_150,160,168,0,1,11.1,17.0
train_151,160,168,0,1,-17.02,19.11
train_152,160,168,5,1,16.58,38.8
train_153,150,168,7,2,10.77,45.93
train_154,150,216,7,2,29.31,75.09
train_155,160,168,5,2,36.3,61.83
train_156,150,168,7,1,32.46,45.2
train_157,150,216,7,1,79.9,52.89
train_158,150,168,7,1,36.63,47.24
train_159,150,216,7,1,95.96,57.58
train_16,160,168,0,1,-31.38,68.26
train_160,160,168,5,1,48.52,45.28
train_161,160,168,5,2,35.0,42.16
train_162,160,168,0,1,30.02,70.33
train_163,160,168,0,1,-2.51,76.57
train_164,160,168,0,1,4.36,127.51
train_165,150,216,7,2,141.4,50.69
train_166,160,168,5,2,67.5,47.54
train_167,160,168,0,1,-37.0,41.93
train_17,160,168,0,1,-35.6,76.37
train_18,160,168,0,1,-18.1,39.15
train_19,160,168,0,1,-17.2,39.27
train_2,160,168,0,1,20.5,112.37
train_20,160,168,0,1,-17.51,97.66
train_21,160,168,0,1,-18.94,66.79
train_22,160,168,0,1,-9.85,70.21
train_23,160,168,0,1,-9.94,65.94
train_24,160,168,0,1,-19.12,64.96
train_25,160,168,0,1,-11.39,24.69
train_26,160,168,0,1,30.81,98.18
train_27,160,168,0,1,25.67,97.77
train_28,160,168,0,1,69.8,126.22
train_29,160,168,0,1,53.13,119.83
train_3,160,168,0,1,-20.3,36.33
train_30,160,168,0,1,68.02,116.66
train_31,160,168,0,1,68.02,116.66
train_32,160,168,0,1,-9.77,60.23
train_33,160,168,0,1,-9.77,60.23
train_34,160,168,0,1,-9.77,60.23
train_35,160,168,0,1,45.82,106.86
train_36,160,168,0,1,25.34,103.54
train_37,160,168,0,1,3.81,89.11
train_38,160,168,0,1,-0.56,73.21
train_39,160,168,0,1,15.83,96.16
train_4,160,168,0,1,-20.6,37.95
train_40,160,168,0,1,0.71,72.96
train_41,160,168,0,1,-12.6,65.25
train_42,160,168,0,1,-4.77,71.94
train_43,160,168,0,1,-7.86,70.0
train_44,160,168,0,1,4.35,27.49
train_45,160,168,0,1,-25.97,30.58
train_46,160,168,0,1,-23.35,25.82
train_47,160,168,0,1,-12.23,57.42
train_48,160,168,0,1,5.59,36.92
train_49,160,168,0,1,-19.33,31.16
train_5,160,168,0,1,-18.9,34.9
train_50,160,168,0,1,-12.44,66.03
train_51,160,168,0,1,-8.49,86.06
train_52,160,168,0,1,-10.35,24.07
train_53,160,168,0,1,-10.17,29.96
train_54,160,168,0,1,-9.59,32.08
train_55,160,168,0,1,-9.39,31.54
train_56,160,168,0,1,-12.46,31.79
train_57,160,168,0,1,-11.27,27.83
train_58,160,168,0,1,-10.34,25.27
train_59,160,168,0,1,-11.63,25.33
train_6,160,168,0,1,-17.83,32.12
train_60,160,168,0,1,-11.57,27.21
train_61,160,168,0,1,-11.12,28.47
train_62,160,168,0,1,-8.33,27.92
train_63,160,168,0,1,-8.37,27.75
train_64,160,168,0,1,-9.63,27.94
train_65,160,168,0,1,-10.22,27.95
train_66,160,168,0,1,-9.86,25.36
train_67,160,168,0,1,-9.08,28.36
train_68,160,168,0,1,-27.19,12.61
train_69,160,168,0,1,-26.61,11.28
train_7,160,168,0,1,-18.1,36.52
train_70,160,168,0,1,-25.66,10.78
train_71,160,168,0,1,-26.04,11.11
train_72,160,168,0,1,-25.32,12.53
train_73,160,168,0,1,-27.28,12.93
train_74,160,168,0,1,-33.87,12.4
train_75,160,168,0,1,-27.67,22.0
train_76,160,168,0,1,26.06,17.71
train_77,160,168,0,1,24.83,18.32
train_78,160,168,0,1,-0.74,77.0
train_79,160,168,0,1,-21.6,31.35
train_8,160,168,0,1,-19.12,34.19
train_80,160,168,0,1,4.25,113.05
train_81,150,168,7,1,320.67,87.0
train_82,150,216,7,1,566.53,103.1
train_83,150,168,7,1,251.19,74.26
train_84,150,216,7,1,337.08,87.72
train_85,150,168,7,1,226.28,55.42
train_86,150,216,7,1,225.24,61.15
train_87,160,168,7,1,28.29,52.1
train_88,150,216,7,1,399.59,129.68
train_89,160,168,0,1,-17.16,20.84
train_9,160,168,0,1,-19.54,33.87
train_90,154,216,7,1,519.21,134.43
train_91,160,168,0,1,-25.0,35.89
train_92,160,168,0,1,-20.71,36.07
train_93,160,168,0,1,-21.91,89.03
train_94,160,168,0,1,-13.31,10.22
train_95,160,168,0,1,48.3,88.19
train_96,160,168,0,1,1.86,78.95
train_97,160,168,0,1,33.0,97.44
train_98,160,168,0,1,11.52,85.8
train_99,160,168,0,1,62.3,96.92
